asin,phone,case,work,use,time,headset,charge,quality,product,cable,price,battery,sound,charger,button,device,screen,iPhone,car,look,way,call,thing,problem,fit,get,volume,music,power,ear,unit,noise,camera,plug,day,design,cell,lot,something,cord,size,order,review,side,piece,voice,pair,cover,protection,protector
B0000DYUZO,5,2,0,0,-1,0,1,0,-1,2,1,-1,0,0,0,0,0,0,1,0,1,0,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
B0000SX3BK,33,1,2,2,2,0,1,2,0,0,0,3,2,0,0,0,5,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0
B0000WZWSI,3,0,0,1,0,0,1,1,-1,0,1,1,0,-2,-1,0,1,0,0,-1,0,0,0,-2,0,2,0,0,0,0,0,2,3,0,0,0,2,1,0,0,2,-1,0,1,0,0,0,0,0,0
B000227PL8,0,2,33,9,8,0,3,2,7,2,5,0,0,0,0,14,0,1,0,5,2,0,5,6,0,3,-1,0,37,0,2,1,1,12,5,7,0,1,2,2,3,3,2,8,1,0,0,0,0,0
B0002DODYO,-1,-1,4,3,0,-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0002F7I94,-3,2,2,2,-1,5,0,1,0,0,0,0,-1,1,0,0,0,0,-1,1,0,1,0,0,0,-1,6,0,0,1,1,-1,0,0,-1,0,0,0,0,0,1,0,0,-1,1,-1,0,0,0,0
B0003RA29O,-6,1,-1,0,0,2,1,2,0,-1,1,2,1,-1,-5,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,-1,0,0,0,-1,0,0,-1,0,1,0,0,0,0
B00069IQG0,10,0,6,12,10,27,3,12,2,0,5,4,7,2,8,4,0,0,1,3,0,3,-1,0,3,1,2,0,0,1,7,10,0,0,-1,1,2,0,0,0,1,0,2,2,1,4,8,1,0,0
B0006B088W,28,1,8,1,6,14,1,1,0,1,1,0,0,0,3,6,0,0,0,1,0,6,2,0,1,2,0,0,0,1,5,0,0,2,1,2,0,2,0,0,0,1,1,2,0,0,0,1,0,0
B0006B3QY0,0,0,5,2,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
B0006DPT5M,5,0,1,2,4,3,-1,2,1,-1,0,-1,1,1,1,-3,0,1,0,0,-1,2,2,0,0,0,0,0,0,2,2,0,0,2,3,0,0,0,0,1,0,0,-1,0,2,0,0,0,0,0
B0006FLA80,24,2,11,1,2,2,4,0,2,3,-1,1,1,0,1,2,1,0,0,2,0,6,1,-1,1,3,1,0,3,1,0,0,3,1,2,1,1,2,1,1,-1,0,0,0,0,2,0,1,0,1
B0006HP7NC,3,1,2,1,3,0,5,2,1,0,4,12,0,1,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,2,0,0,0,1,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0
B0006I2G3U,38,0,4,11,2,2,6,9,0,3,2,5,2,1,4,0,1,0,1,3,2,3,0,3,0,0,3,1,2,0,0,0,7,1,1,1,1,0,2,0,0,0,1,1,0,4,0,0,0,0
B0006J419Q,3,0,1,0,-1,-1,0,2,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,-1,1,0,0,-1,0,-1,0,-1,0,0,0,1,0,-2,-1,0,0,0,-3,0,0,0,0,0
B0007PLY0S,6,26,1,-2,1,0,1,8,6,0,2,0,0,0,1,0,2,10,-2,5,-2,0,4,2,2,-1,1,1,0,0,0,0,2,0,1,0,0,3,-1,0,0,-1,0,0,1,0,0,3,0,0
B000ALY22Q,1,1,9,6,-1,0,0,4,4,30,3,0,1,0,0,0,0,0,14,1,1,0,0,0,0,1,0,2,1,0,1,-1,0,-1,0,-1,0,1,-1,4,2,2,0,-1,-3,0,0,0,0,0
B000BHAUSE,-1,0,0,1,2,-1,-1,0,-2,0,0,-5,0,-2,0,0,0,0,-2,0,0,-1,2,0,-1,0,1,0,-1,-1,-3,0,0,-1,0,0,-1,0,0,0,0,0,0,1,0,2,0,0,0,0
B000DZXIRY,11,0,5,3,2,3,5,4,5,0,3,1,0,0,2,1,0,0,0,2,0,4,0,0,0,0,1,0,1,1,13,2,0,0,3,0,0,1,0,1,-1,-1,0,0,2,3,0,0,0,0
B000E7YSWK,17,1,5,7,2,13,2,8,4,3,2,1,6,1,2,5,0,0,0,2,3,7,2,0,0,1,0,15,0,1,0,0,1,0,0,0,5,1,3,0,1,0,2,2,7,0,6,0,0,0
B000EFVGV8,0,0,2,0,1,0,-1,1,2,0,1,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,3,-1,0,0,0,0,0,0,0,0,0
B000EIXG7C,1,0,3,2,2,3,1,0,0,0,0,2,1,0,1,0,0,0,2,1,0,1,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0
B000EM2O2G,7,12,2,1,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,1,0,3,0,2,0,4,0,0,0,0,0,0,0,1,0
B000F4A038,3,0,3,0,3,7,0,5,2,0,2,0,6,0,1,0,0,0,3,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
B000FYUYT8,10,0,2,1,0,2,0,5,0,-1,1,0,1,0,2,0,0,0,1,-1,-2,3,1,0,0,0,-1,1,-1,0,0,0,1,0,1,1,0,0,-1,0,1,0,0,0,1,1,0,0,0,0
B000G7LWRM,10,0,6,3,4,0,2,0,0,0,1,-2,1,0,3,1,2,0,0,2,3,4,0,1,0,4,0,1,0,0,0,0,2,0,1,0,0,2,-1,0,1,0,1,1,0,2,0,1,0,1
B000GUKT9Q,12,0,3,6,2,12,2,5,1,0,2,1,0,0,4,4,0,0,3,4,3,6,0,2,0,0,8,0,2,9,0,1,0,0,2,0,0,2,0,0,0,0,0,0,1,3,3,0,0,0
B000HBIUNG,15,-1,3,4,0,12,4,2,0,0,0,2,8,2,4,2,0,0,3,7,0,4,5,3,2,0,7,0,0,7,0,2,0,0,-1,2,2,2,3,2,0,-1,5,1,1,2,3,0,0,0
B000IVEQYW,9,0,7,1,5,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
B000J4YU3A,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,-2,0,-1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
B000J6FWTO,7,0,7,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B000JHKU72,7,3,8,4,3,4,6,6,1,0,2,1,6,6,4,-3,0,0,0,1,2,1,1,1,0,0,0,10,-2,0,0,2,0,0,2,0,1,2,2,0,0,2,3,-2,2,1,4,0,0,0
B000JUQ3XY,0,2,0,0,-1,0,0,0,0,0,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B000KBFX6K,0,16,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,2,0
B000KNJEV8,4,3,6,3,1,0,1,-1,3,0,1,0,0,0,2,3,0,1,2,1,1,0,1,1,3,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,-1,2,3,0,0,1,0,0
B000KZW7L0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
B000LJU5E6,14,38,1,1,2,0,1,0,2,0,4,0,0,0,11,0,2,0,0,3,2,0,-1,0,3,0,7,0,5,0,0,0,1,1,-1,1,0,1,2,0,2,2,0,0,1,0,0,2,1,0
B000LMBJMA,8,0,9,4,3,10,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,4,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0
B000MAT1I0,5,0,3,2,0,0,0,0,1,7,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
B000NLSGA2,52,62,5,10,8,0,9,5,1,0,3,3,0,1,10,2,13,0,0,4,3,0,3,2,4,2,2,0,1,0,1,0,1,1,3,0,1,6,0,0,3,3,3,0,2,0,0,6,22,12
B000PCCLPU,10,1,5,12,7,7,1,9,3,0,2,3,6,2,7,1,0,3,0,0,3,3,0,2,2,4,12,9,3,3,1,6,0,0,5,0,0,0,4,3,0,-1,4,1,0,0,5,1,0,0
B000SAD7RA,8,0,8,4,10,9,3,5,0,0,1,2,5,1,10,-3,0,0,0,1,1,0,2,2,1,1,4,0,0,4,1,4,0,0,5,1,0,3,0,2,-1,1,0,0,2,10,3,0,0,0
B000SR19V4,0,1,1,3,0,2,5,0,-1,2,0,2,0,-1,-1,3,0,0,2,-1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,-1,0,2,0,-1,0,-1,0,0,0,0,0,0
B000T1RU3A,7,0,8,2,1,5,0,6,-2,0,1,-1,3,-1,1,1,0,0,-1,0,1,2,0,4,0,2,0,8,0,0,1,1,0,1,1,1,3,0,0,0,0,0,1,0,0,2,2,0,0,0
B000UBNFT2,24,0,18,13,7,34,6,11,13,2,5,4,11,4,5,8,0,4,2,2,4,8,4,4,5,5,5,20,1,11,4,7,0,5,0,1,3,4,1,1,7,1,2,1,3,3,2,0,0,0
B000V9W3WI,0,0,4,0,2,0,3,0,1,0,1,8,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
B000W1PW96,7,0,1,0,0,0,0,2,3,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
B000WHK3V2,16,28,1,2,0,0,1,1,2,0,0,0,0,0,0,0,1,6,0,5,0,1,3,1,3,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,3,0,0,1,4,1
B000XT3L7W,27,1,14,15,1,7,5,4,0,1,1,1,8,0,0,11,0,0,1,4,3,3,1,2,0,0,5,10,0,1,3,1,0,1,1,3,0,2,4,3,0,0,1,0,1,1,4,0,1,0
B000YCAH8Y,2,1,15,3,4,2,11,2,4,3,7,2,0,20,0,0,0,2,9,1,0,0,1,0,0,3,0,0,1,0,0,0,0,2,1,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0
B00110RN2G,1,2,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0011G9LCU,1,0,5,0,0,0,0,1,1,0,1,0,2,0,2,1,0,2,0,2,1,1,0,0,0,1,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,1,3,2,0,2,0,0,0
B0011GI94Q,10,0,7,8,3,0,0,2,3,2,0,0,0,1,0,6,0,1,4,1,1,3,0,0,0,0,0,0,0,0,1,0,0,1,2,1,9,0,0,0,0,0,0,1,0,2,0,0,0,0
B0011WFERU,2,0,1,0,1,0,0,3,4,0,4,0,0,0,0,0,3,3,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0012J0O8G,0,0,1,0,-1,1,2,0,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
B0012NRJSU,5,0,3,2,0,0,4,0,1,8,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
B0012OP7HE,15,5,11,7,10,2,0,14,4,6,9,0,32,0,2,0,0,2,2,4,4,5,2,5,7,7,5,25,-1,3,1,-11,0,6,2,3,2,2,2,5,4,1,1,-1,9,4,9,1,0,0
B0014KLFN6,46,2,5,13,2,1,1,1,2,0,1,4,1,0,1,1,6,8,0,3,4,0,2,-1,0,1,0,3,-1,0,1,1,15,0,2,3,1,1,1,0,2,1,7,1,0,2,1,1,2,0
B0014YJHNW,5,3,8,1,2,0,0,2,8,1,0,0,0,0,0,2,0,5,3,2,-1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,4,0,1,1,0,0,0,1
B001630QZE,73,114,36,60,69,116,91,54,24,17,29,39,36,22,32,34,0,13,21,23,17,31,18,16,20,14,31,2,15,47,35,34,0,5,12,20,14,7,15,7,38,3,10,9,14,24,18,3,3,0
B0016J9U0K,-15,0,0,1,-2,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-2,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,0,-1,0,0
B0016JDE34,-7,0,-1,-1,-4,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,-2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,-1,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
B0016Y9R6C,17,1,3,1,5,0,18,0,3,1,2,12,0,8,0,2,0,2,1,0,2,0,3,0,1,1,0,0,13,0,2,0,0,1,3,0,1,3,0,1,2,1,0,0,0,0,0,0,0,0
B00174N3R0,0,1,11,3,-1,0,0,-1,2,0,0,0,0,0,0,0,3,6,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,1
B0017P5AR0,1,0,2,2,-2,1,1,1,1,0,0,0,1,0,1,1,0,-1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
B0018LJM5E,14,20,1,2,4,0,1,1,3,0,8,1,0,0,4,0,0,0,0,3,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,4,1,1,0,0,0,2,2,0
B0018MK2C0,5,0,3,4,0,4,0,-1,1,0,0,2,3,2,-1,3,0,0,0,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,1,0,1,0,0,-2,2,0,0,0
B0018PS4O0,9,0,7,2,2,0,0,1,0,-2,1,0,0,0,0,2,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
B0019UX796,5,0,4,2,2,0,0,9,-1,1,4,1,2,0,3,1,0,2,0,1,3,0,2,3,-1,0,2,3,0,0,2,1,0,0,2,1,0,1,1,0,1,0,0,1,1,0,7,0,0,0
B001AQQ7KA,7,4,0,0,1,0,0,2,5,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,1,0
B001AY3IJA,7,0,0,2,1,0,0,0,1,0,3,1,0,0,0,2,0,0,2,0,2,0,0,2,0,1,0,0,2,0,1,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
B001B1BKZ6,2,2,4,-1,-1,0,0,0,0,0,0,0,0,0,1,0,6,-1,1,2,1,1,0,1,0,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
B001B4QMI8,7,29,0,1,5,0,1,3,1,0,1,0,0,0,3,0,7,1,0,5,4,0,2,0,2,1,0,0,0,0,1,0,0,0,0,2,0,2,2,0,1,1,1,2,-4,0,0,5,3,4
B001BF12QO,0,2,1,10,8,0,17,0,-1,7,1,5,1,12,2,1,0,4,1,4,3,0,4,-1,0,-1,0,0,8,0,5,0,0,3,-1,-3,-1,0,1,4,0,0,0,0,0,0,0,0,0,0
B001BNE5YW,-8,-1,-1,-2,-1,0,1,0,-5,0,0,0,0,0,0,0,-6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,2,-1,-1,0,0,-1,0,-2
B001BW08SA,0,0,5,3,0,0,0,1,3,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2
B001C1MD9M,2,0,5,8,2,0,0,-1,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
B001C2AS48,0,0,7,0,0,0,0,0,1,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,1,0,0,2,0,1,-1,0,0,0,0,0
B001CI741M,5,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,14,2,0,4,3,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,1,10
B001DDYH9I,3,6,2,2,0,0,1,0,0,0,0,4,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,0,0,0
B001DK9LB0,1,2,15,2,3,0,3,4,7,24,2,0,1,0,0,5,4,2,1,1,0,0,0,3,0,3,0,1,4,0,0,0,0,5,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0
B001DNSLKE,5,21,1,1,3,0,0,1,0,2,2,1,0,0,6,0,0,0,0,1,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0,0,1,0,1,0,0,0,1,1,0
B001DTT742,0,0,2,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B001E6KE46,0,5,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,-2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
B001E8Q8XA,4,2,1,2,0,0,0,1,0,0,0,0,0,0,1,1,11,1,0,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,16
B001EN109C,-1,1,4,2,0,1,4,-1,1,2,1,-1,1,1,2,1,0,1,4,0,1,4,2,-6,0,0,0,3,-3,0,-1,1,0,0,0,0,0,-1,1,0,0,-1,0,0,0,-2,0,0,0,0
B001F2Q0BU,4,0,12,1,5,0,6,-1,0,0,5,0,-1,11,0,0,0,2,3,1,1,0,-3,0,0,0,0,0,0,0,1,0,0,0,-1,-1,1,-1,-1,0,0,0,1,0,0,0,0,0,0,0
B001G2JPVQ,9,2,3,3,3,0,0,0,3,1,1,0,0,0,0,1,0,1,5,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
B001GI9DSK,24,28,0,2,2,0,0,3,2,0,0,0,0,0,1,0,3,10,2,3,3,0,1,0,4,2,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,1,0,0,0,6,5,2
B001GJ0E4G,30,4,2,19,10,0,1,2,1,0,1,4,1,0,4,9,13,0,0,1,5,2,6,3,0,7,1,2,0,0,0,0,7,0,2,1,0,2,3,0,1,1,1,0,0,0,0,0,0,0
B001GL9A5S,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
B001GRRVBC,31,31,2,6,2,0,0,0,0,0,1,0,0,0,0,0,4,5,0,1,2,0,1,3,2,1,0,0,0,0,0,0,0,0,-2,3,0,0,0,0,2,1,3,0,0,0,0,0,3,2
B001I45EGC,11,0,6,3,0,0,0,0,0,7,3,0,0,2,0,0,0,0,2,0,0,0,0,1,0,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
B001IATYMQ,78,115,5,13,9,0,0,1,12,0,9,0,1,0,7,1,15,27,1,6,4,6,5,4,9,8,0,0,0,0,0,0,-1,1,-1,1,2,6,6,0,1,0,2,3,5,0,0,17,27,8
B001ISL548,1,2,3,0,1,0,0,1,5,1,4,0,0,0,0,0,4,0,0,0,1,0,0,2,3,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
B001IUXN8M,11,20,9,1,3,0,0,4,1,0,8,0,0,1,3,0,0,5,0,5,1,3,-1,0,5,2,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,1,4,0,-2,-1,0,0,5,0,1
B001JL5WA2,3,3,9,9,4,0,3,3,3,0,1,1,1,0,1,3,3,5,16,0,4,4,6,0,1,1,0,15,0,0,6,1,0,3,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,0
B001KD6ZRS,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-1,0,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,-1,0,0,0,0,0,3,1,0
B001KYJ80I,-2,0,-1,-1,0,-2,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,1,0,0,1,0,0,0,0,0,0,0,0
B001LRPN0I,12,3,5,3,0,0,4,0,0,1,0,5,0,8,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
B001MRZY3S,22,1,1,3,1,0,0,0,2,0,5,1,1,0,-1,1,2,2,0,0,1,-2,1,0,0,-1,0,0,-1,0,0,0,2,1,1,0,0,0,1,0,1,2,0,0,0,1,0,2,0,1
B001PUE69U,3,0,4,2,0,0,0,-1,-1,-2,-1,0,1,0,0,-1,0,0,0,0,2,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,-1,1,0,0,-2,0,0,0,0,0,0
B001R5KQGK,7,1,7,1,6,0,4,0,0,0,1,14,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B001TI1GLO,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001U3O1ZG,1,0,0,1,0,0,0,0,1,0,-1,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0
B001UC9NOQ,17,3,25,5,3,0,16,5,1,51,7,1,0,2,0,7,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,3,3,0,0,1,2,1,4,0,4,-1,3,0,0,0,1,0,0
B001UO45SI,11,2,9,8,2,0,0,4,16,0,9,0,0,0,1,0,20,3,0,7,1,0,2,-2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,2,0,0,3,1,14
B001YSI04A,6,0,7,11,3,8,2,5,4,0,0,2,7,1,3,1,0,0,1,0,0,3,1,2,1,2,2,3,1,5,0,2,0,0,3,1,1,-1,0,1,1,1,3,0,0,1,3,1,0,0
B0023TX5EY,4,0,3,1,1,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0025W5RX6,20,0,1,2,2,0,1,0,0,0,1,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
