,asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime,title
1026,B0019UX796,"[1, 1]",2,"1.  I'm on my third pair of these headphones;  thankfully i only purchased them once, but Sennheiser has been a solid company and as sent me two brand new units.2.  Bottomline, these headphones are great sounding wireless / bluetooth headphones, they fit well (at least my head) and are easy to operate.  However, as with all wireless headphones, they are overtly inferior to the traditional wired headphones in terms of sound quality and volume (huge issue with me).  Furthermore, compared to the ""BT"" wireless line in Sennheiser, this unit is overtly inferior in terms of sound and especially build quality.  So getting to my main point (sorry for taking so long), all in all a nice pair of wireless phones (ie you should have a specific purpose for a wireless set over a traditional wired set).  The problem with this specific line is that they're poorly made.  The on / off button is... lame.  Specifically, it's difficult to tell if you're pressing down on the button properly.  Ok, so what one may say and I agree.  Clarifying statement in terms of the poorly made:  I have send back two units because one unit would not turn off (I tried every trick in the book, but the button was stuck or something else was going on)  The other unit wouldn't turn on consistently.  There would be days where it would work properly and then other days when the darn thing wouldn't powerup (yes, the headphones were fully fully charged).3.  Thus, unless you specifically require this type / shape of headphones (which I do), then I would strongly recommend going with the higher priced but definitely much better Sennheiser wireless phones (ex: the BT line, which are truely 5 star products).4.  On a side note: Kudos to Sennheiser for being a 5 star company;  no questions asked, no hassles, they're a company that stands behind their products and puts out excellent stuff... most of the time.","01 6, 2012",APBB297H3ZA5E,Harry M. Shin,good wireless headphones... when they work,1325808000,Sennheiser MM 100 Bluetooth Headset - Black/Gray
1243,B001GRRVBC,"[2, 3]",5,"This comes with both the Innocase II and the holster. The Innocase II is slim and adds very little to the size of the iPhone. It does not have a tacky feel at all and does not attract lint, but instead has a smooth, almost sensual feel, while still providing a good grip. I need to have my phone on my belt, but it would slide easily in and out of your pocket. It fits the phone perfectly and is tight enough that it has to be pushed on and is a little difficult to get off, so there's no worry about it coming off unless you want it to. It leaves the controls easy to reach and use, but protects them well enough that if you drop it, it would have to land at an angle on the controls to damage them. Not impossible, but it would have to land just right. It is also lined with a velvety material so it won't scratch your phone. I also like that it covers the silver bezel on the front of the phone. I'm sure some prefer to see it, but this case also protects that part. There is another brand that leaves that part exposed if you prefer that. With this case on, it's beautifully black sleek and sexy, like a beautiful woman wearing a little black dress.I haven't had any problems with the clips on the bottom portion, but I've only removed it about 3 times.The holster and Innocase were designed to work together and they do so perfectly. The Innocase clips easily and securely to the holster. It is also quick and easy to release when you want to use the phone. The Innocase goes into the holster with the screen facing the holster, so only the back of the case is exposed and the holster is also lined with the same material as the inside of the Innocase to protect the screen. Also, when you release the phone, it comes out in your hand in the right position for use, without having to maneuver, or turn the phone.I've never had a holster case before because I just didn't trust them, but bought this one based on the reviews and I'm glad I did. I've tried pulling the phone out of the holster and have been unable to get the phone to release from the holster unless I lift the catch. The belt clip has a hook at the bottom that attaches securely to my belt and is even a little difficult to pull off. It fits my heavy 1 1/2"" belt with no problem, but probably won't fit a belt much wider than that.The only problem I've had, if you can call it that, is that when the iPhone with the Innocase II is in the holster and on my belt, it's all so slim and light that I have to keep checking to make sure it's still there.If anything happens to this case I will definitely replace it and am thinking of getting another Innocase in a different color, just to have a spare.","07 8, 2009",A2E6R5K2VZ0N5Q,Amazon Customer,Great Case,1247011200,"Seidio Innocase II Surface Spring Clip Holster Combo for iPhone 3G, 3GS (Black)"
377,B000ALY22Q,"[0, 0]",3,I wanted to keep my car free and clear of cables so I purchased a retractable cable to at least keep it more organized. The retractable part works fine but the cable is pretty thin. I hooked it up to my stereo and I could here a lot of static. I then tried a not retractable cable that was pretty thick and the static was gone and the sound was a lot better. You have to sacrifice sound for clutter free cables or go with sound and have wires all over. I stopped using this since I couldn't stand the static. I am not sure if its the cable I got or not but I will stick to the non retractable cable. I'll just have to find a short one since the 3 foot one I have is too long.,"05 24, 2012",A3DOPYDOS49I3T,Confucious,So so...,1337817600,Scosche IS IU3.5RCR 3.5mm Retractable Cable
1132,B001DK9LB0,"[2, 29]",1,"Don't waste your money.  This will work, but at what cost.  You pay $25 more than it is worth.  Unless you plan on watching the video on a screen smaller than 20 inches I would not buy this.","03 8, 2009",A3LR47S4I7Q0NS,John Doe,Waste of Money,1236470400,"Scosche IPAV SneakPEAK Audio/Video Cable for iPad,iPod and iPhone - Synchronization Software - Retail Packaging - Black"
1075,B001BF12QO,"[2, 2]",5,"First Look: Arrived in a very nice box, unit is shining new, nice carrying pouch, USB cable. A+ for presentation and could be a very good gift for someone special. Unit came pre-charged but follow instructions... charge it for a minute or so before use. After that, it's as simple as plug it in. Fast charged my HTC EVO 4G from almost empty to full in a very short time... sorry forgot to time the charging time because I was overly excited over this new toy. After that I charged it using an AC-USB charger until all 5 green LED's are lit. Concept: Neat and Concise. The battery extender could also be charged by a computer via its USB cable. Then the same USB cable could be flipped over to charge the phone; in my case, I had to use an additional mini USB to micro USB charging adapter. So 1 cable, 1 bat-ext, 1 adapter, all in a single pouch. A+ for compact. A+ for simplicity and nice touch on the little status button that tells you how much juice is left. Industrial Design: Clean line and 'Apple' like although the enclosure squeaks a little when it's being squeeze. And because of the shining effect, expect fingerprints magnet! Buff the prints off using the soft case, and it looks marvelous! Overall, well built and no gap, which show excellent workmanship and attention to details. Markings are sharp and no blemish found. Don't know about how safe it is as there is no UL Listing Mark on it; could be a concern for a rechargeable Li-Ion battery, which is known to go 'Kaboom' when being over-charged. Has some weight feel to it...feel like it's stocky! Good, I am expecting beefy juice out of this bad boy!Since it's full charge 8 days ago, it now has lost one green LED without being used. Assuming that the unit discharges linearly, it would take 8*5=40 days to completely discharge... Recognizing that this a false assumption and theoretically at best, so don't go jumping all over me now! I will give the unit another 8 days to check if it would lose another LED. Then loading and cycling tests of the unit will begin. Stay tune.Update Jan 2013 - After 2 years of using this device, it has paid for itself many times over. The battery appears to reach it's life cycle so I have to charge it more often to ensure I have backup power while traveling. It's still a nice unit when it was introduced at the time... simple to use, just remember to plug it in the night before your trip to have a full charge ready for use.... today there are many similar options to choose from other companies, and there are newer models from the same company... worth a second look.","12 7, 2010",A2L6I0ZLGKO2ND,"Tinkeringeek ""Tinkeringeek""",Very Neat Little Power Brick,1291680000,"Satechi iCel 5200 mAh (2 amp) Battery Extender Pack and Charger for iPhone 6, 5, 5S, 5C, 4, HTC One, Nexus 5, DROID, Samsung Galaxy S4, S5, S6, S6 Edge, Note 3, 2, Flip & Vado HD Camcorders"
1257,B001I45EGC,"[0, 0]",5,"Bought this for our Samsung phone, but it also works for several LG handsets we use occasionally. Quite a nice bonus, and a great price as well!","01 10, 2013",A116K49GU3QGW9,"A Guy ""Otis""",Charges and transfers data,1357776000,Samsung USB data cable For U900 t919 Behold t459 Gravity t229 APCBS10UBE
1605,B0025W5RX6,"[0, 0]",1,"My cousin got this phone, and has had 2 replacements and has never had it wet or even abused the phone any. It had the screen going out, turning rainbowish colors. Her second phone seems to be working, but neither of us seem to think it is an impressive phone","07 6, 2014",A38US3BI4PEJ5O,NARNTEK3049,Faulty screens and restarts ruin a good phone,1404604800,Samsung SGH-A877 Impression 3G GSM Cell Phone Black AT&T
58,8288853439,"[0, 0]",4,Great ! So far.I had this charger before and it seem to last pretty good 3 years fits most phones except Iphone and Galaxy 5  but that phone can still use it in the right side of the portal it will Judy charge it a bit slower. When this charger goes it tends to loose it's fit firmly in usb and has a short.,"06 12, 2014",A2C9H5QRLXXICT,c c,GOOD BUY,1402531200,Samsung Official OEM Travel Wall Charger for your Galaxy S Phone! Original Equipment and Manufacturer (AC 110-220 volt)
76,8288862993,"[0, 0]",1,Plugged into the car and worked the first couple of days. Hasn't worked since. My phone does not even recognize it's plugged in.,"10 1, 2012",A3ODQQDGMRX3UV,Emily,Does not work.,1349049600,Samsung New Version ECA-U11CBE Official OEM Car Charger for your Galaxy S2 Phone! Original Equipment and Manufacturer (DC 11-30V)
1086,B001BW08SA,"[5, 5]",5,"I simply do not understand the negative reviews. This product works perfectly and exactly as described on my iPod Touch 2G. I can push the slide icon on the Touch to unlock, can scroll through my Contacts, and can easily type emails. The tip is small enough so that I don't make the same kind of errors that occurred when using my thumb, which would often hit the wrong letter.Yes, I have to use a slight amount of pressure when touching the screen (unlike, for example, when I used a stylus on my Palm TX), but the amount of pressure is negligible and something that you can learn to do in about 2 seconds.I do not use a screen protector, though I imagine you would have to increase the pressure if you do (I had to do that when I used a screen protector on my Palm TX). But that is not a big deal.If you want to enter text and send emails more easily, and also avoid constantly cleaning fingerprints off of your Touch, then this stylus is for you. I have two--one for home and one for the office. It works great. I see no reason to buy something that is more expensive, as some reviews have suggested.","02 24, 2009",A3NEAETOSXDBOM,Stephen M. Charme,Works great on iPod Touch 2G,1235433600,"Samsung Instinct M800, Apple iPhone, 3G, iPod Touch iTouch UNIVERSAL Touch Screen Stylus Pen CLIP (Red Body, Black Ends)"
95,8288878881,"[0, 0]",3,"Got this to replace a frayed OEM cord. The cord itself is ok ;however, the plug that looks like OEM and is stamped as such, is crap! Took 8 times longer to charge with this unit! When the cord was paired with the actual OEM plug in, it worked fine. So if you need a cord its ok; however, it is definitely not OEM and the plug is worthless. For the price and really just needing a cord it is a good value but I am very disappointed with the false markings as OEM when it is certainly not.","07 8, 2013",A3HGR8E77NTQPF,Con Brennan,Be careful when buying electronics for cellphones when not from the manufacturer!,1373241600,"Samsung Galaxy S2 Phone OEM Official Travel USB Charger (Detachable, comes with OEM USB to Micro USB Cable)!"
141,9861203192,"[0, 1]",1,"there is a different between the size/design of Galaxy II that is carried by USA and what's carried by Asia.  I'm in USA, I ordered the cover for Galaxy II that i bought from USA, the cover didn't fit, and the speaker location is different from the phone.  I copmared the cover to another Galaxy II that is sold in Asia and i found that the design is different.So if you bought Galaxy II from USA, don't buy cover from outside USA","07 27, 2012",AQIGD6RKS9OJX,WAED,Wrong size / design,1343347200,Samsung Galaxy S2 (i9100) TPU Rubber Case - Black
159,9985537742,"[0, 0]",4,Purchased this USB cable to connect my Samsung smartphone to my laptop computer.  Works well and fits my needs and expectations.,"07 9, 2014",A2MJOPZSRJV6LM,Mark Ross,Works as expected,1404864000,Samsung Galaxy S Charging USB 2.0 Data Cable for your Phone
465,B000FYUYT8,"[1, 1]",4,"Nice slider phone, wanted a change from the bricks and flip phones.  Bluetooth is great, and the Samsung PC Suite (free download from Samsung) lets you edit your contacts, upload ringtones, and just about anything else you want to do.  Battery life is great, about one week between charges.  The speaker is not the greatest quality, so a headset is recommended.  Cingular did not bundle a headset, so that's extra.  Interface is intuitive and functions are easy to figure out.  Speakerphone sound quality is only marginal.The main selling point of the phone is its sliding and its thinness.  Other than that, it's basically like all other GSM phones.  There are cheaper flip phones that can also do video.I would have given this phone five stars if the sound quality was better.","01 6, 2007",A2FQ08CLTFE4WW,johndoe13,Nifty,1168041600,Samsung D807 Phone (Cingular)
1597,B0023TX5EY,"[0, 0]",4,This was a very inexpensive battery to fit the phone that died on me. It is basically the same battery only a different company I guess. It charged up quickly. Can't go wrong here!,"04 4, 2013",AD342OQX4EFN7,Donkey,Samsung Battery Replacement,1365033600,SamSUNG OEM AB553446BA BATTERY FOR D347 D407 A645
1224,B001GI9DSK,"[13, 14]",3,"I knew before I purchased this that the SHIELD case wouldn't provide much protection for the front of the phone, but I didn't realize how much of the front silver lining of the phone was left uncovered. I changed my case from the iCase Slider to this in the morning, and five hours later I tripped with my phone in my hand and scratched up the bottom corner of the phone. There's a big scratch along the edge of my phone now, because the SHIELD left so much unprotected, and unfortunately my sleek new iPhone is now a scratched up iPhone.I guess for the much more careful, this is a fine case to buy. It covers most of the back and provides a firmer grasp on the phone when you're using it. For me, it always feels like the phone is going to slip right out of my hand when I don't have a case or cover on it, so this was a good case in that aspect since it doesn't add any bulk. However, don't count on much protection for your phone, even on the back where the Apple logo is exposed -- one wrong move with your car keys in your purse or pocket and you'll end up with a big scratch along the back too.I've since changed my case out to something with more coverage, and I'm happier using that instead.","03 9, 2009",A106Q1A6LGU4DP,gnapye,Not much protection,1236556800,SHIELD Apple 3G iPhone Shield Polycarbonate Slim Fit Case + Microfiber Cleaning Cloth - (Champagne)
34,6073894996,"[1, 1]",2,"I could only give this USB car charger 2 stars because although it worked fine for about 3 months, it subsequently died on me.Pros:-Has 2 USB ports for charging, one (the top) is 2.1 amps.  The bottom slot is lower, presumably 1 or 1.5 amps.-Fits well in my charging socket - holds tight.  I've had some that were loose in my charging socket.-Works well to charge my iPhone in the top slot and the bottom slot works with most Android phones, except the very high end ones.-Has a blue LED light to tell you it is on and ready to charge.-The USB sockets seem to be well made and tightly fit all my cables.-Pretty solid construction.-It cost less than $2.Cons:-It died on me after 3 months.I had really enjoyed using this USB charger.  It rapidly charged my iPhone and worked well with charging the phones of my family and friends.  The two slot design makes this design very handy; with a 1 slot design, no one else can charge their device unless I remove my cord.  Of course, after this charger died, I had to go back to the 1 slot design I was using before.After 3 months, I began to notice the LED light flickering.  It was less than a week later that is quit working permanently.  I'm not sure what the problem was - faulty wiring, bad design, I guess I'll never know.  I thought about getting another since they are so cheap, but then I thought better of it.  Maybe they are so cheap because they are simply disposable after a short period of time.For whatever reason, it died and I was forced to look for another 2 slot design - I haven't found one in my price range yet.","06 25, 2012",A5A4374R8I7NB,PWB Esq,"Works Fine, But It Died On ME",1340582400,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
766,B000YCAH8Y,"[1, 1]",4,"Great little car charger and the charging light is a nice touch. I've had several of these and they still work fine but I recently upgraded to a newer design with dual outlets (one 2.1amp, one 1.0 amp) to charge both an iPad and iPhone or two phones at the same time. Lots of these available everywhere now and also online for under $3-$4, so no need to pay more.","01 11, 2014",A8VI7KMUHI7ZH,Voiceover Guy,"Works fine, but I'd go 'dual' now",1389398400,"SANOXY 3 in 1 USB Charger Kit for iPod and iPhone: Travel Charger, Car Charger, and Retractable USB Charger and Data Cable for iPod 3G, iPod 4G, iPod Nano 2nd Generation, iPhone, iPod Classic, iPod Touch"
600,B000MAT1I0,"[0, 0]",3,"I love my usb cable it fits perfect and I have no problem what so ever, I recommend this product.","02 19, 2014",A1EKRUO70F554M,Earl P.,usb cable,1392768000,"Rapid Car Charger with Ic Chip + USB Data Cable + Home Travel Charger for Lg Vu Cu920, Shine Cu720, Venus Vx8800, Voyager Vx10000, Cu515, Vx5400, Rumor, Scoop, Ux260, Cg180, Ce110, Vx8350, Lx160, Flare, Ax380 Wave, Ux380, Cu575 Trax, Vx8550 Chocolate, Lx570 Muziq, Ax565, Ux565, Ax275, Vx8700, Vx9400, Vx9900 Env, Lx150, Vx8600, Ax8600, Vx8500 Chocolate Cell Phone"
1234,B001GJ0E4G,"[0, 0]",4,"I initially purchased this device in 2008 from AT&T when it just came out and changed 3 of them since that time. First had a problem with trackball after couple of months of use. The other one had dead pixels on the screen. So I am on my third device now.  My primary aim for this device is usage of chat software(IM+), emails and internet browsing (Opera Mini). This is by far is one of the best and user friendly devices I have used. It is not laggy as windows mobile devices, The menus can be accessed quickly with no delays. And especially multitasking (which iphone lacks) is a very nice feature that has been helping me a lot while chatting, making a phone call, and watching a video or listening to the music at the same time. Of course I had to update it with the latest firmware update. Before that, I had some java errors and spontaneous reboots, but not anymore. Since the last update I can confirm that I had NO problems whatsoever. I have few complaints though which in my opinion are minor ones and I can live with them. First is the battery life. If I am not using internet very often it may last a day and a half but when I am browsing with Opera Mini or chatting on IM+ the battery drains very quickly so I have to carry another battery with me. Another thing I would prefer to have is a nice youtube player which I can't find anywhere (I tryed a couple of them). And the youtube that plays with a native browser is just garbage, which is kind of sad because other phones like Iphone and HTC touch pro 2 can play youtube quite nicely. And last but not least is the camera. Outdoors, on the bright light you can get more or less decent pictures but if you will try to shoot a video it will come out as a total crap, pixelated with distorted lighting. And the flash isn't helping much either. Unlike for example with Nokia n97 which takes pretty decent pictures and videos. But like I said these things are minor ones and since this phone is being oriented more for a business user you can't expect to have it all. Especially I like the ability to operate this device with one hand only, which comes in handy in many situations, unlike some other phones with larger keyboards I have tried. Of course another nice feature is a multilanguage support which you can not have in windows mobile phones (e.g. convert device and keyboard interface in spanish, german or other language at no charge) Now I am only expecting the release of OS 5.0 which I will immediately install on my device. So let's see how that goes. I definitely recommend Blackberry Bold for someone who is searching for a device with push email, chatting and light internet use.","10 28, 2009",A27XZ2EQ8VUT7Y,AAlt,Great device!,1256688000,RIM Blackberry Bold 9000 (Unlocked) - BLACK
120,9658231942,"[1, 1]",5,"Great case, sturdy, doubles battery, wont have to worry any more. I purchased this for my kid and he is very HAPPY.","04 18, 2014",ANMATY0L0HX6Y,Sasha Malkin,"Awesome Case, Love it.",1397779200,PowerBear Samsung Galaxy S3 Rechargeable External Battery Case - Black (Go Beyond Your Power)
1043,B001B1BKZ6,"[1, 1]",4,"I purchased this product in my local Apple store, and luckily there was a sales clerk there who knew how to get the film affixed to the iPhone.  It would have taken me three times as long to get near the same results.This is how he did it: He thoroughly cleaned my iPhone with a cleaning solution and a clothe, getting rid of all the smudges and specks of dust. Then he took out and handled one of the films with two fingers, one each on the vertical sides of the film. He then lined up the two holes in the film (one for the speaker and one for the home button) and he carefully let the film affix to the glass. When he spotted a tiny bubble, he slightly pulled up the film and reset it again. He used the clothe to further affix the film to the glass.The trick was to make sure there were no smudges or specks of dust on the glass. Clean it thoroughly.Needless to say, the film does not have the same smooth feel as the glass. You'll have to get used to the difference. And though the film requires less cleaning and doesn't get as much smudges as the glass, it still requires cleaning.The film fits the class very nicely, and there's not too much difference in the overall viewing of video or images on the iPhone. I would prefer not to use the film, but I just found myself always wiping away annoying smudges from the glass.","04 11, 2009",A2J0IBS4PFRO2C,Bakari Chavanu,Good product; tricky to put on,1239408000,Power Support Anti-Glare Film Set for iPhone (Original)
684,B000UBNFT2,"[0, 0]",4,"I've had a lot of bluetooth headsets over the years and this one currently ranks as my all time favorite. It is not perfect but it does many things well.  A summary:Pros:-paired very easily-call quality coming in and going out is excellent and works well with voice dialing (and voice commands on my iPhone).- great for listening to podcasts just using the single headset (without extra earpiece) since they are already monaural.- good for listening to music with the second earpiece attached.-controls my phone and ipod functions very well. I can pause and resume what I was listening to on my  iphone anytime.cons:-Sometimes misses a second of music (doesn't happen with calls at all).- Stereo sound quality is good but not fantastic.  Since I listen mostly to podcasts and audiobooks, it doesn't make any difference and when I listen to music, it is good enough for me.- the connector for charging is micro usb.  My first 855 had a problem with the connector loosening so it would reliably charge. Plantronic promptly replaced it. I hope that was a fluke or they have improved that part of the build.Overall, really like this headset and its versatility.","10 27, 2009",A1FZIJNVM3ZBVH,"Blue Tooth ""technogeek""",very convenient and flexible headset,1256601600,Plantronics Voyager 855 Bluetooth Headset (Black) (Discontinued by Manufacturer)
255,B0002DODYO,"[0, 0]",4,"The light works exactly as expected.  As long as you are using your headset then the light will indicate that you are on the phone.  I do wish that the lights were a little brighter, or possibly multicolored.  We have an individual in the office that is color blind to red, so that would have been a nice touch.Also for obvious reasons, if you are using your handset, this light is not on.  I wish that the lifter had a feature that recognized when the handset was lifted by hand.  But that is a wish, not a product defect.Overall, I am happy with this device.","12 10, 2013",A3NITC1DVTMMM2,ARauch,Just what I needed.,1386633600,"Plantronics Online Busy Indicator Light (CS50, Voyager 510 compatible) (65116-02)"
172,B00001W0EQ,"[0, 0]",3,"This headset works fine, but I expected somewhat better sound quality for the price. Also have not been able to get it to work with my Samsung Galaxy, I'm guess that was an issue with the 2.5 to 3.5 mm plug adapter I got since it works fine with my panasonic cordless phone. Not sure if this would allow you to initiate a call on the cell phone, however, which is what I am really looking for from a headset since bluetooth headset sound quality is so poor.","03 24, 2012",A3AZUX1EW379D0,M. Nolan,Expected more for the price,1332547200,Plantronics Mobile Convertible Headset M175C (Discontinued by Manufacturer)
458,B000F4A038,"[0, 0]",3,"My consonants aren't well pronounced and my voice is pretty smooth--not loud. I have a hard time finding headsets that work. I was expecting this one to work well since it had a boom mic. But people still had a hard time hearing me. They don't have a hard time when I talk on my Samsung Epic Touch. So, this was a worse experience for my listeners. It doesn't have any noise cancellation, which might be part of the issue. It's a great headset for the price, but if you're a person who tends to mumble or be soft spoken, I would try another Plantronics headset. My trusty dusty is the Plantronics MX150. People can't tell a difference between that and the mic on my cell phone. I just keep buying them. I would love to find another since I have to keep buying the converters for the headset jack and that's been tough to find ones that work.As for comfort, I thought it would be better than some, but after wearing it for 30 minutes or so, I still get a little ear fatigue and need to take it off. The sound on it is pretty good. Better than the MX150, but obviously not representative of what the person on the other end is hearing.","12 14, 2012",A1VRL731UN4HYW,D. Edwards,"For the Price a Good Unit, but Not As Good for Mumblers",1355443200,Plantronics MX505 Windsmart Boom Headset - Black/Gray (Discontinued by Manufacturer)
182,B00001W0ET,"[0, 0]",2,"I don't think this will last very long.  I was thinking of deploying this in a call center environment, but I don't think it would last very long.  Plus, the cord is too short for desktop use.","06 9, 2008",A2F3NIU0ZFL1X,"Tom ""Tom""",Feels very flimsy,1212969600,Plantronics M110 Mobile Headband Headset (45628-51)
305,B0006B088W,"[0, 0]",5,"Works Great, a very useful accessory for any wireless headset and the Amazon price is right compared to what Plantronics wants!!!","10 3, 2013",A2OMWYJE19Z46E,M. Brooks,Plantronics HL10 Handset Lifter,1380758400,Plantronics HL10 Handset Lifter
