asin,battery,button,cable,call,car,case,charge,charger,color,cover,day,design,device,fit,get,hand,headset,iPhone,issue,life,look,lot,mount,order,phone,place,plug,pocket,power,price,problem,product,protection,protector,purchase,quality,review,screen,side,size,something,sound,thing,time,unit,use,volume,way,work
B000BBCTJ8,3,4,0,5,4,0,2,0,0,0,3,1,4,3,2,1,15,0,3,1,0,2,0,3,21,0,0,2,1,11,3,1,0,0,0,9,4,0,4,0,2,7,2,6,7,5,5,4,7
B000BYPLVI,1,5,0,1,6,0,0,0,0,0,0,5,0,0,4,2,0,0,0,1,0,2,10,1,14,3,0,0,0,4,4,6,0,0,0,3,0,2,7,1,0,0,1,3,4,8,1,0,13
B000CC9OJO,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,7,0,1,1,4,1,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,3,0,2
B000CCQ1UE,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,4
B000DZXIRY,1,2,0,4,0,0,5,0,0,0,3,0,1,0,0,2,5,0,-1,2,2,2,0,1,15,0,0,0,1,3,4,5,0,0,2,6,2,0,0,1,0,2,0,2,13,5,1,0,5
B000E93M4I,1,2,3,3,1,1,2,1,1,0,2,0,2,1,0,1,0,0,0,2,1,0,0,0,56,2,2,1,0,0,0,0,0,0,1,3,1,3,0,0,1,1,2,3,0,5,2,1,5
B000ELUXIO,0,0,0,0,0,14,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,0,0,4,0,0,1,0,0,0,0,2,1,0,0,0,2,0,0,2,0,2,0,0,0
B000FYU4SO,6,0,0,1,0,1,0,0,0,1,1,1,5,0,0,0,1,0,3,1,0,0,0,0,21,0,0,1,0,0,2,0,0,1,2,1,3,4,1,0,1,0,0,4,0,5,0,1,2
B000FYUYT8,0,2,-1,3,1,0,0,0,1,0,1,1,0,0,0,1,2,0,0,1,-1,0,0,0,10,0,0,1,-1,1,0,0,0,0,0,5,0,0,0,1,-1,1,1,0,0,1,-1,-2,2
B000G2TLIO,3,2,1,2,3,2,2,0,3,0,1,0,3,0,0,2,0,0,1,1,3,2,0,0,44,2,0,2,0,3,2,1,0,0,2,5,0,3,1,3,1,0,1,5,1,9,1,4,5
B000H13M2K,0,9,3,0,0,49,1,0,2,4,1,4,1,4,1,6,0,0,0,0,8,2,0,3,30,0,0,1,3,4,1,4,9,2,1,2,1,7,4,0,0,0,1,1,0,3,1,1,0
B000H2451G,3,2,0,1,1,2,1,0,0,0,1,0,0,2,0,0,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,2,0,1,3
B000IVDI4Q,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,5
B000JKKE5M,4,2,3,9,26,3,9,8,0,0,1,0,12,0,2,3,6,0,3,2,3,4,0,3,28,0,1,0,16,2,0,1,0,0,3,13,4,0,1,0,1,7,3,5,15,8,6,0,9
B000KBFX6K,0,0,5,0,0,16,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,5,0,1,0,1,0,0,0,0,0,0
B000KNLG3M,0,0,0,0,1,4,0,0,0,1,0,1,1,0,-1,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0,2,0,1,1
B000M92GLK,1,3,0,2,4,0,2,4,0,0,1,1,2,0,1,0,6,1,0,1,0,0,0,3,2,1,0,2,1,3,2,1,0,0,0,5,0,0,0,1,1,3,1,2,0,1,1,2,3
B000NKCO5Q,7,8,0,10,4,8,8,1,0,0,4,2,7,5,7,2,27,2,3,4,3,7,0,2,35,3,0,6,0,1,12,7,0,0,3,16,5,0,2,3,3,11,4,10,5,25,17,7,31
B000Q9DX0O,1,2,7,0,2,2,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,2,0,1,4,0,0,3,1,1,0,0,0,0,0,0,2,0,0,0,1,4,1,2,0,1,6
B000S5VI8A,1,0,3,6,11,0,1,3,1,0,1,0,4,0,0,0,0,1,0,1,2,0,0,0,8,0,0,0,3,2,0,0,0,0,1,7,0,0,0,0,0,4,0,3,6,4,1,2,5
B000SZ9I0K,1,2,0,4,3,4,2,1,0,0,0,1,1,4,3,0,2,0,1,0,0,1,0,1,9,1,0,1,0,0,4,2,0,0,2,2,0,0,0,1,0,4,1,2,2,12,3,2,10
B000U6QPFI,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,2,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,-1,0,2,0,1,4
B000UBNFT2,4,5,2,8,2,0,6,4,0,0,0,1,8,5,5,0,34,4,1,3,2,4,0,1,24,1,5,3,1,5,4,13,0,0,2,11,2,0,1,7,1,11,4,7,4,13,5,4,18
B000UC158O,0,1,0,3,6,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,1,0,14,0,1,0,1,2,3,0,0,0,0,3,0,2,6,0,0,1,2,2,15,1,0,1,8
B000UDX7C0,2,5,0,3,3,0,0,0,0,0,0,1,3,1,2,1,8,2,0,1,1,0,0,0,12,0,0,1,0,0,4,3,0,0,2,0,0,0,3,0,2,1,1,5,2,1,10,1,2
B000V6KD78,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1
B000VDATQ6,0,0,0,2,0,2,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,3,0,0,0,0,0,0,1,0,1,1,0,1,1
B000VE585C,0,1,0,0,2,0,0,0,0,0,0,1,0,0,-1,0,-4,1,1,0,-1,1,0,0,0,1,0,-1,0,-1,-3,0,0,0,0,-1,-1,0,2,0,0,-2,0,-2,0,2,1,-1,0
B000VUGZIK,1,0,0,2,2,1,1,0,0,0,2,0,0,1,0,2,2,0,2,1,0,2,0,0,1,0,0,1,0,1,2,1,0,0,1,3,0,0,2,1,1,1,3,0,1,3,0,2,0
B000VVDEJ2,2,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,0,2
B000WPDI2K,0,0,0,1,0,0,1,0,0,0,2,1,0,0,2,0,0,0,1,0,0,4,0,0,19,1,0,0,-1,4,1,0,0,0,0,2,1,1,1,1,1,0,0,1,0,1,0,2,0
B000YE54F8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,2,5,0,0,0,0,1,0,3,0,0,0,3,1,0,1,-1,1,-1,0,1,0,2,0,0,8
B0011WFERU,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,4,0,0,2,3,0,3,0,0,0,0,0,1,0,0,2,2,1
B0013G8PTS,419,61,124,6,30,49,606,169,5,2,77,37,148,11,24,28,4,117,24,54,29,32,0,18,322,12,56,75,169,31,13,164,1,0,20,21,18,4,11,84,30,1,48,167,75,181,0,37,92
B0014KOB6Y,1,0,34,15,0,5,1,0,0,1,4,3,7,0,9,0,0,4,3,1,3,5,15,3,63,11,1,0,9,7,9,26,1,0,6,1,4,0,6,3,3,0,8,15,19,24,2,10,26
B0014Z1B80,0,0,0,0,0,2,0,0,0,3,3,2,1,2,2,0,0,0,0,2,2,0,0,6,9,3,0,2,0,7,1,9,2,18,2,0,2,27,8,3,1,0,2,4,0,4,0,4,6
B001630QZE,45,34,17,31,23,128,105,30,8,3,14,20,36,20,16,11,136,13,5,16,25,9,0,5,81,18,7,10,15,33,16,26,3,0,14,58,10,0,9,38,17,41,22,77,49,68,33,17,36
B0016I6GUS,0,0,3,1,0,1,1,0,0,3,0,1,0,1,0,0,2,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3,2,0,0,4,0,0,2
B0016J9U0K,1,0,0,2,0,0,0,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,-2,0,1,0,0,0
B0016JDE34,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,1
B00170KUM0,1,0,5,1,24,0,1,0,0,0,0,0,17,0,1,1,0,0,0,0,1,1,0,2,24,1,3,1,14,1,4,3,0,0,1,3,0,0,0,0,0,2,4,8,1,3,0,1,5
B001713AAI,0,0,3,1,0,0,0,0,0,0,3,0,0,3,2,3,0,2,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,4,0,4,0,4,0,0,2
B0017KTOJK,2,2,0,1,1,0,0,0,0,0,4,2,-3,1,1,2,5,0,0,2,2,2,0,1,14,0,1,1,0,1,0,3,0,0,0,3,0,0,1,-2,1,1,5,1,3,10,4,0,14
B0018PS4O0,0,0,-2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,2,0,-1,7
B0018RBETU,1,5,0,2,0,0,2,1,1,0,0,0,1,0,1,0,3,0,2,1,0,1,0,1,5,0,0,1,0,2,1,2,0,0,2,6,0,0,0,1,1,4,0,4,3,2,6,1,2
B001953NGS,6,2,0,7,18,0,4,0,0,0,0,1,6,0,1,0,0,2,-1,3,0,2,0,0,24,1,0,0,0,1,2,6,0,0,0,8,3,0,1,0,6,4,2,5,3,5,6,1,12
B00198EYP4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,-1,0,0,2,0,1,0,0,0,2,0,0,0,0,0,1,-1,1,0,1,0,0,1
B0019M7DD0,3,4,0,2,0,1,1,2,0,1,2,0,2,0,0,2,9,0,3,0,0,0,0,0,8,1,1,0,2,1,1,1,0,0,1,0,1,0,0,0,0,0,1,2,6,6,2,1,7
B001AQQ7KA,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,1,2,5,1,0,0,2,1,1,0,0,0,0,2,1,0,0,0,0,0
B001AVXON8,1,1,0,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,3,1,1,3,1,0,6
B001B38LUG,3,0,0,0,0,12,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,0,0,0,7,0,0,3,1,0,0,-1,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,1,0
B001B4QMI8,0,3,0,0,0,31,1,0,0,5,0,2,0,4,1,1,0,3,0,0,5,2,0,1,9,0,0,3,0,3,0,1,3,4,0,3,1,7,2,1,2,0,4,7,1,1,0,4,0
B001BF12QO,5,2,7,0,1,2,21,12,1,0,1,-3,1,0,1,1,0,4,1,2,4,0,0,0,2,0,3,0,8,1,3,3,0,0,0,0,0,0,0,0,1,1,4,10,5,10,0,3,1
B001BNCJ5E,0,0,0,0,0,2,2,0,0,2,0,0,3,1,1,2,0,9,0,2,1,3,0,1,9,5,0,1,0,0,1,2,2,7,2,1,0,20,0,0,3,0,5,10,0,9,0,3,2
B001BW08SA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,1,1,3,0,0,3,0,0,0,0,3,0,0,7
B001C1MD9M,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,2,1,0,0,0,0,0,3,0,0,1,1,0,3,0,0,2,0,0,2,0,8,0,0,5
B001C3LCBK,1,0,0,0,0,31,0,0,1,2,1,2,0,11,3,1,0,2,1,0,1,4,5,2,19,1,1,2,0,0,4,4,1,1,1,1,3,3,3,1,0,0,3,1,0,3,0,4,6
B001CFAQVA,2,0,3,0,0,1,24,3,2,1,0,2,2,0,1,0,0,0,0,0,3,1,0,0,9,1,5,0,3,4,1,1,0,0,2,0,0,1,5,0,0,0,6,3,0,3,0,7,8
B001CJTE0K,0,0,0,0,0,103,0,0,0,6,1,2,0,14,3,2,1,34,0,1,13,6,0,9,51,3,1,2,1,29,2,7,0,1,2,9,3,0,1,3,1,0,3,6,0,6,0,3,14
B001DDYH9I,4,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,1,0,0,2,0,2,2
B001DEWSWA,1,0,0,-5,0,0,2,0,0,0,0,0,-1,2,0,0,5,6,0,2,0,-1,0,1,-1,0,0,0,0,2,0,0,0,0,2,-2,0,0,0,0,1,2,2,0,0,-1,1,0,3
B001DUAQTQ,0,0,1,0,0,1,0,0,0,1,1,1,0,2,0,0,0,5,0,0,3,0,0,0,13,1,0,4,2,5,1,6,0,0,1,1,0,1,1,1,1,0,2,2,0,4,0,1,5
B001E42QBW,3,0,2,2,1,10,12,0,0,0,3,1,-2,1,1,0,0,9,0,2,0,1,0,0,9,0,0,0,4,0,3,6,1,0,3,0,0,0,2,2,2,0,1,1,0,3,0,0,6
B001E8Q8XA,0,1,0,0,0,2,0,0,0,0,0,0,1,0,4,0,0,1,2,0,1,1,0,0,4,0,0,1,0,0,2,0,0,16,0,1,0,11,2,0,0,0,0,0,0,2,0,0,1
B001E96PK0,12,10,0,4,0,1,5,0,0,1,4,2,8,0,1,0,0,0,2,2,0,4,0,0,39,0,0,3,1,0,0,0,0,0,0,1,2,3,0,0,2,0,1,3,2,0,0,2,8
B001EX6LJ6,0,0,0,0,0,26,0,0,2,0,0,1,0,0,0,0,0,1,0,0,3,1,0,1,4,1,0,1,0,3,0,1,2,3,0,0,1,0,2,0,0,0,1,2,0,2,0,0,1
B001F2Q0BU,0,0,2,0,7,2,6,11,0,0,-1,3,0,0,0,0,0,4,1,0,1,-1,1,0,6,0,1,0,0,5,0,2,0,0,0,3,1,0,0,0,-1,-1,3,5,1,3,0,1,14
B001GJ0E4G,4,4,0,2,0,4,1,0,1,0,2,1,9,0,7,3,0,0,0,2,1,2,0,1,30,5,0,0,0,1,3,1,0,0,2,2,1,13,0,1,3,1,6,10,0,19,1,5,3
B001GL9A5S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
B001HBIJOU,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
B001HSMHGO,3,1,0,1,0,1,0,0,1,2,0,1,5,0,2,1,0,7,0,1,0,1,0,0,32,-1,0,1,0,1,1,1,0,0,0,4,1,5,2,2,1,0,1,2,0,8,1,3,3
B001IKJSRC,0,4,0,1,1,0,0,0,0,0,0,2,1,2,1,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,3,4,2,1,0
B001J5P7E4,0,3,1,1,1,64,2,1,0,11,0,4,4,5,1,2,0,0,0,0,3,2,1,3,18,4,2,3,0,11,1,7,10,1,1,6,0,5,5,1,2,0,3,3,2,4,2,5,2
B001JJT5UC,0,1,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,0,3,2,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,4
B001JL5WA2,1,1,0,4,16,3,3,0,3,0,0,0,3,1,1,0,0,5,3,0,0,1,0,1,3,2,3,0,0,1,0,3,0,0,1,3,0,3,1,0,0,1,6,4,6,9,0,4,9
B001KD6ZRS,0,0,0,0,0,10,0,0,-1,3,0,1,0,0,-1,0,0,3,0,0,-1,1,0,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
B001L82JQS,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,1,0,0,2
B001L84QGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,1,0,0,1,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,-1,2,0,0,0,1,0,0,1
B001MRZY3S,1,1,0,2,0,1,0,0,0,2,1,0,1,0,1,0,0,2,0,0,0,0,0,2,30,1,3,0,1,5,0,2,0,1,1,0,0,2,0,1,1,1,1,5,0,9,0,1,3
B001NQ7UKI,1,0,0,0,0,0,3,1,0,3,0,0,1,0,0,0,0,0,1,0,-1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,3
B001OC1ASY,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,3,0,0,0,7,1,1,0,1,2,0,1,2,0,1,0,0,12
B001PUE69U,0,0,-2,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,2,0,0,3,1,0,0,0,-1,-1,-1,0,0,0,-1,0,0,-2,1,0,1,0,0,0,2,0,2,4
B001QXDSO0,1,2,2,1,0,0,5,1,0,0,0,2,6,2,0,0,10,7,0,0,2,0,0,0,5,1,1,3,2,2,1,1,0,0,0,4,2,0,1,3,0,6,2,3,7,4,1,0,9
B001QXYM90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,9,0,0,0,0,0,0,-1,0,0,1,0,1,0,0,0,0,0,0,-1,0,1,0,0,2
B001R5KQGK,14,0,0,0,0,1,4,1,0,0,2,0,1,0,0,0,0,0,0,4,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,7
B001SS91LW,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,-1,3,1,0,0,0,3,3,1,0,0,0,2,0,0,0,0,0,3,0,0,0,5,2,2,2
B001TC6NPE,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,1,1,0,2,5,0,0,0,0,5,1,8,2,21,0,1,1,10,4,0,0,0,2,2,0,3,0,3,4
B001UBB9GM,4,0,0,1,3,0,1,0,0,0,2,0,4,0,1,0,0,4,1,0,0,0,0,0,18,0,0,0,0,1,0,2,0,0,3,0,0,3,0,0,1,0,0,4,0,3,0,0,3
B001V9LKR6,4,1,0,3,-1,0,3,2,0,2,0,0,1,0,1,1,4,0,1,4,0,0,0,0,6,0,0,0,0,0,2,3,0,0,1,0,0,0,1,0,0,3,1,2,0,1,0,1,6
B001W6Q64U,2,4,0,1,0,0,2,0,2,0,0,1,3,3,1,0,5,0,1,2,1,0,0,0,7,1,0,1,0,4,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,8,1,1,1
B001YSI04A,2,3,0,3,1,0,2,1,0,1,3,1,1,1,2,0,10,0,4,1,0,-1,0,1,7,0,0,0,1,0,2,4,0,0,1,7,3,0,0,1,0,7,1,5,0,13,6,2,9
B0023RRCPY,1,1,7,10,21,7,7,1,0,2,0,1,10,1,3,1,0,14,4,0,0,1,18,1,30,2,3,0,1,1,6,11,0,0,3,1,1,0,5,2,1,0,5,10,0,6,0,8,13
B0023TX5EY,7,0,0,1,0,0,5,0,0,0,2,1,0,-1,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3
B0024R7PBE,0,2,0,0,0,33,0,1,7,8,1,1,0,4,2,2,0,4,0,0,6,0,0,6,28,0,0,3,0,9,2,8,9,2,3,4,0,2,2,0,4,0,0,4,0,2,2,1,2
B0026NO5DW,0,0,0,0,0,5,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,2,1,0,0,0,0,2,1,0,0,0,0,1,0,1,0,1,0
B00275G0H8,1,0,1,1,5,0,2,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,9,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,1,4
B0027FFZEW,27,24,4,39,31,5,24,16,1,4,21,19,17,15,7,16,107,4,21,16,10,14,1,7,97,8,0,3,8,13,15,28,1,0,4,70,8,4,9,17,12,27,23,51,28,53,26,8,32
B002804GRS,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,2,2,1,0,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,3,0,0,5
B0028Q6QUW,10,12,0,4,5,2,6,0,1,0,2,3,2,6,2,2,8,2,8,5,3,1,0,1,12,0,-1,6,4,5,4,4,0,0,2,4,2,0,2,1,5,7,0,4,7,14,6,1,11
B0028Q82S6,0,2,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-2,0,19,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2
B0029ZAJ0K,5,0,2,1,2,1,4,1,2,0,4,0,36,0,4,0,0,2,2,1,0,0,0,0,3,3,2,4,3,0,4,4,0,0,1,0,1,0,1,2,7,0,2,11,3,12,0,9,9
B002A9PVAI,1,6,3,1,0,0,0,0,0,0,2,0,0,2,2,1,0,12,2,0,0,0,0,8,14,1,0,0,0,4,2,4,0,0,0,2,1,23,1,0,0,0,1,6,0,4,0,0,18
B002AQLYCU,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
B002AUPWA6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,2,1,0,0,3,0,0,1,0,0,2,0,4,0,1,2
B002BVL2KS,5,0,0,0,3,0,2,4,0,0,1,0,0,0,1,0,0,2,0,0,3,1,0,0,1,0,1,1,0,0,1,2,0,0,2,0,2,1,0,0,0,0,1,3,0,3,0,0,3
B002CMEIW0,0,3,0,6,5,0,2,0,0,1,-1,5,2,0,1,0,11,3,3,0,1,3,0,3,16,0,1,3,0,11,0,1,0,0,1,10,7,0,1,4,2,15,1,3,0,15,3,3,9
B002CNLKV6,0,0,0,0,0,35,0,0,0,2,1,0,0,3,-1,0,2,7,0,0,3,1,0,0,11,1,0,1,1,1,0,0,0,1,0,1,2,1,0,1,2,0,0,1,0,4,0,0,6
B002DJEQ6K,2,2,0,2,1,0,1,1,0,0,0,0,2,1,1,0,6,1,1,0,0,0,0,1,5,0,2,0,6,4,0,2,1,0,0,3,0,0,1,0,0,2,2,0,3,4,0,1,2
B002EZRCAA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,7,0,4,0,5,1,1,1,3,0,2,2,0,0,1,0,4,0,0,9
B002F9Z5PE,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
B002FU5TOK,0,2,1,0,1,47,0,0,1,1,0,-2,0,1,0,5,0,5,3,1,7,2,0,4,32,2,1,6,0,3,4,3,12,2,4,2,1,2,2,0,2,0,1,4,0,4,0,2,1
B002FYXB9G,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,2
B002G7A8TI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,1
B002GCGNNI,1,0,0,0,0,2,3,0,0,3,0,3,1,0,0,0,0,0,0,0,0,1,0,0,9,0,0,3,0,3,1,2,2,1,1,0,0,0,2,0,0,0,1,0,0,4,0,1,1
