asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime,title
6073894996,"[0, 0]",5,"just what you need, I am always having to charge my phone and then find I have another item to charge also.","11 29, 2013",A385HZRPXDDFCL,Bob,Works great,1385683200,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",3,"does not have the need amps to charge things like ipads, or hp touchpads. but its super small and compact.","05 18, 2013",ALZQ9D8V53TI2,Bruce/Emily,it works,1368835200,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",4,"They are nothing special for sure, but it's nice that you can tell when it is powered up by the led that glows in it.  able to charge two phones at once in the car which is nice.","06 8, 2014",A3VWU7S29LR2XX,Bryan S,I like the fact they light up.,1402185600,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",4,"I have several chargers. Have more than one vehicle so I keep more than one of these in each. Nothing more frustrating than finding all of a sudden one quits working, and you have no way to recharge your phone. That is always when you need it most.  This one works well for any of my products.","01 11, 2014",A3TOHPW7ES23NZ,Cathy,Works great,1389398400,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",5,I bought this a little skeptical. After I tried it I bought two more. It works great and so far it has lasted for about 3 months. If that changes I will update this review.,"09 21, 2013",A1LGWLFF0YD0KV,Daniel Fernandez,Works great,1379721600,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",2,I am disappointed that the 1A didn't work with my iPad.  That's what I get for buying a cheap adapter.,"06 23, 2014",A2YODGM5RUZ7I1,DCGeek1,This doesn't work with my iPad.,1403481600,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[3, 4]",4,"This is a nice charger but you can tell it was made cheaply in China.  When it is charging the phone, the car radio gets LOTS of static.  Not so much that I have to stop charging but like when you are near power lines and the radio station is far away.So, no RF shielding.I gave it 4 stars because it works fine for me, but if you listen to the radio, you might consider it is more like 2 or 3 stars.","03 20, 2013",A29OXVQRZ154KX,Don Powell,Solid Charger but RF noisy,1363737600,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",2,After a week only one side works,"07 3, 2014",A2U5NF3IH4YVKH,ebony winslow,Two Stars,1404345600,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",4,Yo get exactly what you order in a timely fashion. And the item is just as described. Great buy if you ask me,"02 7, 2013",A34XJA5OE33FP1,Hec,Ok,1360195200,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",5,"This is a terribly awesome product in my Subaru's console.  Passengers love it, I love it because it emits a blue glow, because it has held up to abuse over the years and performs like new.","11 10, 2013",A2DZO8MWVM4WKD,"Hekkenschtze ""Hekkenschutze""",USB slots in a blue light that never quits,1384041600,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[2, 3]",5,"I've bough a munch of different things like this over the years. Most wouldn't stay in the jack, or would give out after a few days. This one is GREAT!","04 7, 2013",A3VCIEAN3NYO12,"Jason M. Faulkner ""JMF""",good,1365292800,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",1,"Only works one side at a time. When you connect two cables, one side stop working and also overheated burning the fuses. I purchased two of them and it's the same problem. Cheap and bad quality.","04 29, 2014",ASRM2FSLDPXVX,jose,"don't waste your money, pay more and buy one at Walgreen s.",1398729600,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",5,it works great i like i can charge two thing at the same now i dont have to wait for my to finish charging her phone,"10 15, 2013",A31XHOCG62WJH4,"Jose v ""Jose velez""",charger,1381795200,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",4,"It came at last, good looking and the price was good and i believe it is worth the time I waited for it to come to me good job","03 27, 2014",A2I7NEVKSJ5UWR,"Jude Chukwuma Benyeogor ""jcb""",good job,1395878400,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",2,Didn't last very long. Worked great when it worked but it is a cheap piece of plastic crap so I shouldn't have expected it to last.,"08 23, 2013",A30A04FS5YAES3,Levi Bowen,Works for a while.,1377216000,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",4,"excellent product, works great , have easy handling, and good quality as it is announced. reached as is shown time and in very good condition thank you very much for everything","04 13, 2014",A2Y937AV46ULWQ,Mayra,good,1397347200,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",5,Purchased two and we put one in each car. Now we charge our ipad and iohone together. Can also use to power my Galaxy Note 2 or recharge other USB devices. If you have to think about it you need counseling,"01 13, 2013",A2KP65JS3YY5VL,"Michael A. Rowley ""Nick Danger""",Works great. Very inexpensive,1358035200,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",5,great charger for 2 devices and i haven't had any problems so far 3yrs now,"08 2, 2013",A2L6BH090TX9O7,M. Johns,Five Stars,1375401600,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",4,Purchased product about many a month ago. Pros: Loved it work just fine!! Cool Blue light feature when you plug it into the lighter!! Can plug in two things at one time....Con: Top clear piece came off easily overtime (I just put clear tape around the top) TOTAL: PROS:95% CONS:5%,"11 29, 2012",ABDDX2PV61RMX,MS.J,Dual USB Port Car Charger,1354147200,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",2,"I bought this so that I could use and charge my Tab at the same time. My tab does not recognize the high power port and will either charge while off or use power while on, it will not charge while powered on.","05 5, 2012",A9VL5ER8D0K2Z,Owner,not high power,1336176000,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",5,"I bought this to charge my iphone and tablet in the car. works for iphone but not the tablet. I needed a stronger charge for that but this is still great for both iphoe and ipod together. it's cheap, small and compact","02 8, 2013",A2NTV6MHFXP4M,Patricia Hagan,works,1360281600,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",5,Works great. The blue led light is a nice touch in the car. We charge a Samsung and Iphone using this outlet. Nice low profile too.,"02 1, 2013",A10W7D1W5M4CHE,Paul Rowland,USB Outlet,1359676800,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",4,"works great and charges ipads, tablets, smartphones as well as bluetooth speakers and headsets. I would recommend it to anyone looking for a universal car charger.","01 26, 2014",A2B8HBZPIFYRV1,pissed off,Good little charger,1390694400,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[1, 1]",2,"I could only give this USB car charger 2 stars because although it worked fine for about 3 months, it subsequently died on me.Pros:-Has 2 USB ports for charging, one (the top) is 2.1 amps.  The bottom slot is lower, presumably 1 or 1.5 amps.-Fits well in my charging socket - holds tight.  I've had some that were loose in my charging socket.-Works well to charge my iPhone in the top slot and the bottom slot works with most Android phones, except the very high end ones.-Has a blue LED light to tell you it is on and ready to charge.-The USB sockets seem to be well made and tightly fit all my cables.-Pretty solid construction.-It cost less than $2.Cons:-It died on me after 3 months.I had really enjoyed using this USB charger.  It rapidly charged my iPhone and worked well with charging the phones of my family and friends.  The two slot design makes this design very handy; with a 1 slot design, no one else can charge their device unless I remove my cord.  Of course, after this charger died, I had to go back to the 1 slot design I was using before.After 3 months, I began to notice the LED light flickering.  It was less than a week later that is quit working permanently.  I'm not sure what the problem was - faulty wiring, bad design, I guess I'll never know.  I thought about getting another since they are so cheap, but then I thought better of it.  Maybe they are so cheap because they are simply disposable after a short period of time.For whatever reason, it died and I was forced to look for another 2 slot design - I haven't found one in my price range yet.","06 25, 2012",A5A4374R8I7NB,PWB Esq,"Works Fine, But It Died On ME",1340582400,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",5,"This charger works great and is short, unlike most chargers. It does a great job with charging both my phone and my GPS when I am in the car.  Great value and easy on the wallet.","02 7, 2013",A1OWZHEQ5UCSAN,R. Baker,Great Dual Charger,1360195200,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",1,"I bought 2 of this and tried to test first ... after few minutes of charging, it felt hot. Pulled it out and the product smelled burnt. Tried the other one too and same thing. Be careful... this one could be fire hazard or could potentially destroy the electrical system","06 22, 2014",A25TQLMIAPI1T6,Ronaldo,Be careful,1403395200,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 1]",5,This portable USB Port car charger is a must have for people on the go.  Pair this with an extra or spare cord and you are good to go!,"04 5, 2013",A382RYVVZOJ8PX,"ruthptb ""Ruth Root""",A must have for people on the go,1365120000,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",4,"I love the way it can charge 2 devices at once!  Seems to charge quicker without GPS on, with it on, it only holds the battery, but better than it dying!!!","05 23, 2014",A3GTTANAYUVSDY,Ryan,Works best without location/GPS on device,1400803200,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",4,Bought so we could charge to phones at the same time while in the car from the same port.  Works.,"09 4, 2013",A16EFGT2PLZT34,"S. Coward ""MrsCoward""",Works,1378252800,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",4,I received this product before I expected. It looks pretty good and It works with my Iphone (3GS) and my phone (HTC Evo V 3D). It is a good deal because It is not easy to find something like this for this price,"10 18, 2012",A2Q7SZISE1RXQQ,Tore,Pretty good,1350518400,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",5,"I have several of these, from various retailers, all the same, each made in some anonymous Chinese factory, all exactly alike.They're great. They really do work, and they do deliver 2.1 and 1.0 power as they say they will do. They do the job.You wouldn't expect much QC for a $2 electrical product, but they each work just fine.They don't last forever-- about a year or two of active daily use seems about par, then they suddenly die. So do have some replacements on hand. At this price, no problem.Yes, they work with both my iPhone and iPad. Also with every other USB device I've needed to charge.The LED light that indicates you are plugged in correctly is very helpful.These are great for rental cars and travel. If you leave one behind, hey, it's only $2.I'm totally pleased with these clever little gems. No complaints. I wouldn't be without a couple, especially for travel.Hope this is helpful. Happy trails, all.","06 15, 2014",A8VI7KMUHI7ZH,Voiceover Guy,"Great DC Charger, Works Great, $2 Value",1402790400,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",5,good product at low price.purchased this looking for a smaller charger and I love Griffin products.Free shipping just took a little longer,"05 7, 2014",A3HWOEJ6BK7B7M,Wei,good product at low price,1399420800,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",4,"I use this in my car to charge my phone and my iPod as needed. It works well, but the bright blue light can be annoying when driving at night. Overall, a very good deal.","01 29, 2013",A347LTN4RU2FL1,Yeoman Johnson,Works as advertised,1359417600,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
7887421268,"[0, 0]",2,"I loved the case when I first received it but shortly after, the case started to peel off at first i did not know what it was until i looked on the back of the case and it was missing spots. Guess sometimes a good deal is not really a good deal.would not purchase.","08 6, 2012",A1PMGOX24BWDAZ,0902virgo,Loved it at first,1344211200,Black And Pink Leopard Rubberized Snap on Design Hard Case Faceplate for Sprint Htc Evo 4g
7887421268,"[0, 0]",4,"The color is more dark in person, and this isnt the best protection case. I get a lot of compliments on the case, and it was easy to put on.","03 7, 2013",A115GM0PI28KP5,California Love,Cute,1362614400,Black And Pink Leopard Rubberized Snap on Design Hard Case Faceplate for Sprint Htc Evo 4g
7887421268,"[0, 0]",5,Simple to install and a great way to help protect your phone.My wife really liked the ability to change the look of her phone.,"08 13, 2013",A2AOF16F78BQK6,C. Paul Douglas,Simple and Attractive Protector,1376352000,Black And Pink Leopard Rubberized Snap on Design Hard Case Faceplate for Sprint Htc Evo 4g
7887421268,"[0, 0]",4,The case is pretty good. It dose have some scratches on one side of the phone but its every little. Other then that i like it. Ive dropped my phone a few times since putting on the case and it didnt break or scratch. Ive gotten many complements on this case and over all it was worth the few bucks I spent.,"05 22, 2012",A2LFBAQ1CPDWNY,Davonne,Good Case,1337644800,Black And Pink Leopard Rubberized Snap on Design Hard Case Faceplate for Sprint Htc Evo 4g
7887421268,"[0, 0]",4,This case is afordable and yes it peels very easy but thats to be expected because its a dollor. I bought mine from Electromaster. It snaps on fine for me but if I were to drop my phone the phone would be fine but the case would surely be done for. its only a dollar so do not get your hopes up. it looks great but its for show not for protection. if you want your phone to be protected go the extra mile for an outter box,"10 23, 2012",A22PJG27JHKWPA,ddmmt9,This case is exactly as described,1350950400,Black And Pink Leopard Rubberized Snap on Design Hard Case Faceplate for Sprint Htc Evo 4g
7887421268,"[0, 0]",5,This is one of my favorite cases I have this one on my phone I really love the color a lot.,"02 15, 2013",A2Y33PMFKII0VR,Grandma in NH,Love it!,1360886400,Black And Pink Leopard Rubberized Snap on Design Hard Case Faceplate for Sprint Htc Evo 4g
7887421268,"[0, 0]",2,It looked like it was used! It was broken when it got to be the paint job was horrible.I would never get it again,"07 12, 2013",A3J38WFKNT2MFX,Kelly-Ann Johnson,Don't waste your money!,1373587200,Black And Pink Leopard Rubberized Snap on Design Hard Case Faceplate for Sprint Htc Evo 4g
7887421268,"[0, 0]",1,"This case for some reason is peeling, there isn't much left of the orginal skin, i  loved the case with pink being my favorite color but i wouldn't recommend this specific one for anyone.","07 9, 2012",A17E8FKH09XAY2,kkkeown,bad experience,1341792000,Black And Pink Leopard Rubberized Snap on Design Hard Case Faceplate for Sprint Htc Evo 4g
7887421268,"[0, 0]",5,Its rubberized doesn't look like it in the picture but it is It's really cute I love this case used it for awhile but I switch out cases like I do my shoes.,"02 19, 2013",A1C71EMHZRUWNT,melisa lovewell,Love it,1361232000,Black And Pink Leopard Rubberized Snap on Design Hard Case Faceplate for Sprint Htc Evo 4g
7887421268,"[0, 0]",5,"Received this in about a weeks time. Very nice actually considering how cheap the price was. It's a pink/purple with black leopard spots and has a very nice feel to it. I haven't tried to remove it yet, but hopefully it won't give me any trouble when I do want to change covers.","10 21, 2011",AJDJ6SQUDORP6,"patricia t. ""patricia tolman""",good deal,1319155200,Black And Pink Leopard Rubberized Snap on Design Hard Case Faceplate for Sprint Htc Evo 4g
7887421268,"[0, 0]",5,This case was by far the best case I bought for this phone.  It is very stylish and I received many compliments,"05 15, 2014",A1Q8EBW9PB0H93,Shelby Beaver,stylish!,1400112000,Black And Pink Leopard Rubberized Snap on Design Hard Case Faceplate for Sprint Htc Evo 4g
7887421268,"[2, 2]",5,"This is the cutest case EVER!  I love it because it was easy to apply.  I had to switch from the rubber one because after so many uses, it wears out like the bottom hem of a sweater that has been stretched.  This case keeps my phone intact and protected at the same time...WOO HOO!!","12 9, 2011",AY9MQ4QNQDU5B,"Super Mom! ""GA Peach""",SOOO CUTE AND AFFORDABLE!,1323388800,Black And Pink Leopard Rubberized Snap on Design Hard Case Faceplate for Sprint Htc Evo 4g
7887421268,"[0, 0]",5,my daughter liked it for a few days and then i didnt see it anymore on the phone. Use your judgement on that one.,"02 20, 2013",A3UFJDFSLI21AT,xsi user,plastic with suede,1361318400,Black And Pink Leopard Rubberized Snap on Design Hard Case Faceplate for Sprint Htc Evo 4g
8288853439,"[0, 0]",5,"so far no problems, it charges fast that is what i need it. it doesn' have an USB as it specified, jus a direct wall charger.","01 10, 2014",A1ABWKQZJZPXMG,"Carolin Mng ""carolinm""",Working fine,1389312000,Samsung Official OEM Travel Wall Charger for your Galaxy S Phone! Original Equipment and Manufacturer (AC 110-220 volt)
8288853439,"[0, 0]",4,Great ! So far.I had this charger before and it seem to last pretty good 3 years fits most phones except Iphone and Galaxy 5  but that phone can still use it in the right side of the portal it will Judy charge it a bit slower. When this charger goes it tends to loose it's fit firmly in usb and has a short.,"06 12, 2014",A2C9H5QRLXXICT,c c,GOOD BUY,1402531200,Samsung Official OEM Travel Wall Charger for your Galaxy S Phone! Original Equipment and Manufacturer (AC 110-220 volt)
8288853439,"[0, 0]",4,Another very good phone charger that does the job and has a  very affordable price that anyone can afford  to buy it.,"12 13, 2012",A3KUXQ8TR97MF9,"Charles A. Kozlowsky ""Book Lover""",Very good charger.,1355356800,Samsung Official OEM Travel Wall Charger for your Galaxy S Phone! Original Equipment and Manufacturer (AC 110-220 volt)
8288853439,"[0, 0]",5,Works well. We use this for travel and it lives in our luggage most of the year. For the low price having an extra USB charger this works great. Charges our Galaxy S3 and Note 2.,"01 2, 2014",A2A817AADURYEF,"David LaBedz ""dml""",Travel charger.,1388620800,Samsung Official OEM Travel Wall Charger for your Galaxy S Phone! Original Equipment and Manufacturer (AC 110-220 volt)
8288853439,"[1, 1]",4,"I needed a charger quick and I didn't want to spend $20.00 at the convenience store for a short, crappy charger. For this price, the charger is great.Pros: The cord length is perfect if you have a tall bed. I don't have to struggle to see my phone when I'm laying down.Cons: The plug in is a little blocky but nothing to worry about. The connecter doesn't like to stay in place 100% of the time. It does NOT fall out but if you wiggle it just right it disconnects the charge. My phone is also old and the port is a little worn. That could be my issue.If you need a good charger for a cheap price. Buy this!","12 10, 2013",A3CHJDCPIUK6BZ,Jade,"Buy this if you want a good, long charger",1386633600,Samsung Official OEM Travel Wall Charger for your Galaxy S Phone! Original Equipment and Manufacturer (AC 110-220 volt)
8288853439,"[0, 0]",5,Bought as a spare charger for the house and turned into my main charger because my other one failed. Nice long cable and has held up for tons of charges for my Galaxy S3.,"01 30, 2014",A12B7P0LP6OUBQ,John L,Very Good!,1391040000,Samsung Official OEM Travel Wall Charger for your Galaxy S Phone! Original Equipment and Manufacturer (AC 110-220 volt)
8288853439,"[0, 0]",1,The charger only lasted a week ad after that it just stopped charging my Samsung Galaxy S3.  They really need to start making these chargers better....I've been thru several!!!!,"12 13, 2013",AZW6WE7UXAMU0,Karmell  Harris,Poor Quality Cell Phone Charger,1386892800,Samsung Official OEM Travel Wall Charger for your Galaxy S Phone! Original Equipment and Manufacturer (AC 110-220 volt)
8288853439,"[4, 4]",5,"This Charger is awesome! First of all I wasn't expecting it until between 12/12  and 12/17, but it arrived on 12/11,So That was a plus for me! Second, I was kinda skeptical about purchasing it because it says that its for a Galaxy S and Blackberry so that can mean a lot of things! but I figured what the heck its cheap, so what can I loose!  Well, I just got it today and decided to give it a try at work on my Galaxy S4,  it charged  from 80%  to 100%  in about 7 minutes!! Yes i timed it!  and also the cord is long which is a plus for me!  So if your looking for a fast charger with a long cord and not to mention a great price, this is the one!!update:  not sure what the other reviewer meant by saying these are poor quality chargers, because I've had mine for a little over 2 weeks and it's still going strong!!  Love this charger  especially  for the length!!","12 11, 2013",A1AGQVCNRY2G8G,MDB,Galaxy S4 Charger,1386720000,Samsung Official OEM Travel Wall Charger for your Galaxy S Phone! Original Equipment and Manufacturer (AC 110-220 volt)
8288853439,"[0, 0]",5,I purchase this for a backup at work.  It charges my SGS4.  I would recommend this charger for the Samsung Galaxy S4.,"02 25, 2014",A3FMA2AFK85NMX,Nina L Hunter,Backup  for work,1393286400,Samsung Official OEM Travel Wall Charger for your Galaxy S Phone! Original Equipment and Manufacturer (AC 110-220 volt)
8288853439,"[0, 0]",5,This charger woks wonderfully on the Samsung Galaxy S4.  it chargers the phone fast and the price is great!  Highly Recommended product!,"09 20, 2013",A2EMKC5VI5MZXB,"Suthrn Angel ""Suzy""",Works Great...,1379635200,Samsung Official OEM Travel Wall Charger for your Galaxy S Phone! Original Equipment and Manufacturer (AC 110-220 volt)
8288862993,"[0, 0]",3,It works great  thus  far no issues.  The only thing i might have limited was a usb Connect or it charges my t989 without fail,"04 12, 2014",A1MMMVGC7A7P1Y,alex,this is great buy and very useful,1397260800,Samsung New Version ECA-U11CBE Official OEM Car Charger for your Galaxy S2 Phone! Original Equipment and Manufacturer (DC 11-30V)
